               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095461,            0.059406,            0.037204,             0.80234,             0.09115,              0.0708,            0.024342,            0.072224,             0.04331,             0.02664,            0.070012,            0.003332,            0.003332
                   1,            0.072413,            0.046821,             0.02358,             0.62788,             0.17597,             0.16499,            0.063814,            0.058886,            0.039697,            0.017462,             0.03988,           0.0065334,           0.0065334
                   2,            0.064409,            0.043652,            0.018029,             0.64919,             0.22866,             0.22165,            0.095382,            0.053937,            0.036634,            0.014878,           0.0096161,           0.0096027,           0.0096027
                   3,            0.058483,            0.041871,            0.016507,              0.6884,               0.249,             0.26698,             0.12825,            0.050124,            0.035778,            0.013856,            0.009406,            0.009406,            0.009406
                   4,            0.053979,             0.04041,            0.015186,             0.74914,              0.2461,             0.30479,             0.15093,            0.045861,            0.034111,            0.012832,            0.009406,            0.009406,            0.009406
                   5,            0.051051,            0.039311,            0.014048,             0.59153,             0.31874,             0.32041,             0.17082,            0.044598,            0.033638,            0.012251,            0.009208,            0.009208,            0.009208
                   6,            0.049345,            0.038592,            0.013121,             0.68941,             0.31472,             0.34857,             0.18302,            0.043006,            0.033525,            0.011883,             0.00901,             0.00901,             0.00901
                   7,            0.047565,            0.037543,            0.012681,             0.71014,             0.32046,             0.36001,             0.19209,            0.042525,            0.033023,            0.011063,            0.008812,            0.008812,            0.008812
                   8,            0.046676,            0.037394,            0.012009,              0.7279,              0.3233,              0.3799,             0.20086,            0.040969,             0.03224,            0.010533,            0.008614,            0.008614,            0.008614
                   9,            0.045469,             0.03731,            0.011641,                0.77,             0.33206,             0.39162,             0.21873,             0.03977,            0.031973,            0.010448,            0.008416,            0.008416,            0.008416
                  10,            0.044205,            0.036115,            0.011114,             0.69634,             0.36236,             0.40401,             0.22131,            0.039599,            0.031422,           0.0099814,            0.008218,            0.008218,            0.008218
                  11,            0.043221,            0.035801,            0.010775,             0.76356,              0.3406,             0.39742,             0.22075,            0.039027,            0.031732,            0.010059,             0.00802,             0.00802,             0.00802
                  12,             0.04276,            0.035698,            0.010738,             0.73449,             0.36379,             0.41451,             0.23603,            0.037986,            0.030743,           0.0097293,            0.007822,            0.007822,            0.007822
                  13,            0.042292,            0.035083,            0.010517,              0.6879,             0.37805,             0.42387,             0.24008,             0.03781,            0.030762,           0.0094602,            0.007624,            0.007624,            0.007624
